label	fix
A/Alicante/19_0924_20200218	A/Alicante/19_0924/2020
A/Alicante/19_1023_20200228	A/Alicante/19_1023/2020
A/Alicante/19_1030_20200229	A/Alicante/19_1030/2020
A/Alicante/19_1047_20200303	A/Alicante/19_1047/2020
A/Alicante/19_1053_20200303	A/Alicante/19_1053/2020
A/Alicante/19_1059_20200304	A/Alicante/19_1059/2020
A/Alicante/19_1143_20200311	A/Alicante/19_1143/2020
A/Athens.GR/159.2014	A/AthensGR/159/2014
A/AthensGR/1342012	A/AthensGR/134/2012
A/Baden-Wuerttemberg/02092009	A/BadenWurttemberg/0209/2009
A/Balgium/S00053/2017	A/Belgium/S00053/2017
A/Bangladesh/2008/204	A/Bangladesh/2008/2014
A/Bayern/69/9	A/Bayern/69/2009
A/Baylor6A/Texas/12835/83	A/Baylor/Texas/6A/12835/1983
A/Baylor6B/Texas/25784/85	A/Baylor/Texas/6B/25784/1985
A/Belgium/G9442012	A/Belgium/G944/2012
A/Birsbane/139/2019	A/Brisbane/139/2019
A/Brisbane/kl	A/Brisbane/02/2018
A/California/07/09pdm	A/California/07/2009
A/California/7/9pdm	A/California/7/2009
A/Cambodia/E0826360/2020	A/Cambodia/e0826360/2020
A/Cambodia/e0826360/20Egg	A/Cambodia/e0826360/2020
A/Castellon/02_0836_20191214	A/Castellon/02_0836/2019
A/Castellon/02_0895_20191219	A/Castellon/02_0895/2019
A/Castellon/02_0972_20191228	A/Castellon/02_0972/2019
A/Castellon/02_1034_20200103	A/Castellon/02_1034/2020
A/Castellon/02_1048_20200104	A/Castellon/02_1048/2020
A/Castellon/02_1088_20200108	A/Castellon/02_1088/2020
A/Castellon/02_1108_20200109	A/Castellon/02_1108/2020
A/Castellon/02_1157_20200114	A/Castellon/02_1157/2020
A/Castellon/02_1164_20200115	A/Castellon/02_1164/2020
A/Castellon/02_1182_20200116	A/Castellon/02_1182/2020
A/Castellon/02_1255_20200121	A/Castellon/02_1255/2020
A/Castellon/02_1256_20200121	A/Castellon/02_1256/2020
A/Castellon/02_1265_20200122	A/Castellon/02_1265/2020
A/Castellon/02_1271_20200124	A/Castellon/02_1271/2020
A/Castellon/02_1288_20200124	A/Castellon/02_1288/2020
A/Castellon/02_1319_20200128	A/Castellon/02_1319/2020
A/Castellon/02_1325_20200128	A/Castellon/02_1325/2020
A/Castellon/02_1348_20200130	A/Castellon/02_1348/2020
A/Castellon/02_1377_20200201	A/Castellon/02_1377/2020
A/Castellon/02_1398_20200204	A/Castellon/02_1398/2020
A/Castellon/02_1403_20200204	A/Castellon/02_1403/2020
A/Castellon/02_1470_20200211	A/Castellon/02_1470/2020
A/Castellon/02_1493_20200213	A/Castellon/02_1493/2020
A/Castellon/02_1500_20200214	A/Castellon/02_1500/2020
A/Castellon/02_1611_20200226	A/Castellon/02_1611/2020
A/Castellon/02_1655_20200229	A/Castellon/02_1655/2020
A/Castellon/02_1739_20190304	A/Castellon/02_1739/2019
A/Chicken/Guangdong/97	A/Chicken/Guangdong/1997
A/Chicken/Henan/98	A/Chicken/Henan/1998
A/Chicken/Liaoning/99	A/Chicken/Liaoning/1999
A/Chicken/Shandong/98	A/Chicken/Shandong/1998
A/Chicken/Sweden/SVA161122KU0453/SZ0209321/2016	A/Chicken/Sweden/SVA161122KU0453_SZ0209321/2016
A/Chicken/Sweden/SVA161122KU0453/SZ0209318/2016	A/Chicken/Sweden/SVA161122KU0453_SZ0209318/2016
A/Chicken/Sweden/SVA161122KU0453/SZ0209317/2016	A/Chicken/Sweden/SVA161122KU0453_SZ0209317/2016
A/Chicken/Sweden/SVA161122KU0453/SZ0209316/2016	A/Chicken/Sweden/SVA161122KU0453_SZ0209316/2016
A/Chicken/South_Africa/S2017/09_0184_62/2017	A/Chicken/South_Africa/S2017_09_0184_62/2017
A/Chicken/South_Africa/S2017/08_0581_P2/2017	A/Chicken/South_Africa/S2017_08_0581_P2/2017
A/Chicken/South_Africa/S2017/08_0581_P1/2017	A/Chicken/South_Africa/S2017_08_0581_P1/2017
A/Chicken/South_Africa/S2017/08_0561_P1/2017	A/Chicken/South_Africa/S2017_08_0561_P1/2017
A/Chicken/South_Africa/S2017/08_0561_P2/2017	A/Chicken/South_Africa/S2017_08_0561_P2/2017
A/Chicken/South_Africa/S2017/09_0184_63/2017	A/Chicken/South_Africa/S2017_09_0184_63/2017
A/Chicken/South_Africa/S2017/08_0336_P1/2017	A/Chicken/South_Africa/S2017_08_0336_P1/2017
A/Chicken/South_Africa/S2017/09_0050_56/2017	A/Chicken/South_Africa/S2017_09_0050_56/2017
A/Chicken/South_Africa/S2017/08_0416_38/2017	A/Chicken/South_Africa/S2017_08_0416_38/2017
A/Chicken/South_Africa/S2017/08_0336_P3/2017	A/Chicken/South_Africa/S2017_08_0336_P3/2017
A/CommonGoldeneye/Sweden/SVA161117KU0322/SZ0002165/2016	A/CommonGoldeneye/Sweden/SVA161117KU0322_SZ0002165/2016
A/Duck/South_Africa/S2017/08_0481_P2/2017	A/Duck/South_Africa/S2017_08_0481_P2/2017
A/Duck/South_Africa/S2017/08_0340_P2/2017	A/Duck/South_Africa/S2017_08_0340_P2/2017
A/Duck/South_Africa/S2017/08_0340_P1/2017	A/Duck/South_Africa/S2017_08_0340_P1/2017
A/EntreRios755282/2011	A/EntreRios/755282/2011
A/Finalnd/703/2017	A/Finland/703/2017
A/Geese/South_Africa/S2017/09_0055_P2/2017	A/Geese/South_Africa/S2017_09_0055_P2/2017
A/Geese/South_Africa/S2017/08_0558_P1/2017	A/Geese/South_Africa/S2017_08_0558_P1/2017
A/Geese/South_Africa/S2017/09_0055_P1/2017	A/Geese/South_Africa/S2017_09_0055_P1/2017
A/Geese/South_Africa/S2017/08_0520_46/2017	A/Geese/South_Africa/S2017_08_0520_46/2017
A/Geese/South_Africa/S2017/08_0558_P2/2017	A/Geese/South_Africa/S2017_08_0558_P2/2017
A/Geese/South_Africa/S2017/09_0065_P2/2017	A/Geese/South_Africa/S2017_09_0065_P2/2017
A/Geese/South_Africa/S2017/09_0065_P1/2017	A/Geese/South_Africa/S2017_09_0065_P1/2017
A/Guangdong-Maonan/SWL1536/19CNIC-1909	A/Guangdong-Maonan/SWL1536/2019
A/Guineafowl/South_Africa/S2017/08_0243_P2/2017	A/Guineafowl/South_Africa/S2017_08_0243_P2/2017
A/Guineafowl/South_Africa/S2017/08_0190_9/2017	A/Guineafowl/South_Africa/S2017_08_0190_9/2017
A/Guineafowl/South_Africa/S2017/08_0243_P1/2017	A/Guineafowl/South_Africa/S2017_08_0243_P1/2017
A/Guineafowl/South_Africa/S2017/08_0274_P1/2017	A/Guineafowl/South_Africa/S2017_08_0274_P1/2017
A/IIV-Vladimir/66/2016	A/Vladimir/66/2016
A/IIV-Yaroslavl/101-L/2016	A/Yaroslavl/101-L/2016
A/Iiv-Vladimir/65/2016	A/Vladimir/65/2016
A/Inida/Pun-NIV293751/2021 Feb	A/India/Pun-NIV293751/2021
A/Kanagawa/73/15pdm	A/Kanagawa/73/2015
A/Larusargentatus/Belgium/02936-cls9	A/Larusargentatus/Belgium/02936-cls9/2010
A/Le_Cannet/1893/2019	A/LeCannet/1893/2019
A/Lisboa134/2009	A/Lisboa/134/2009
A/MANITOBA/RV27522017	A/Manitoba/RV2752/2017
A/Mexico/INCMNSZ/BMQ078/Nov2019/H3N2	A/Mexico/INCMNSZ-BMQ078/2019
A/Mexico/INCMNSZ/BMQ136/Nov2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ136/2019
A/Mexico/INCMNSZ/BMQ187/Nov2019/H3N2	A/Mexico/INCMNSZ-BMQ187/2019
A/Mexico/INCMNSZ/BMQ285/Nov2019/H3N2	A/Mexico/INCMNSZ-BMQ285/2019
A/Mexico/INCMNSZ/BMQ317/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ317/2019
A/Mexico/INCMNSZ/BMQ318/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ318/2019
A/Mexico/INCMNSZ/BMQ444/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ444/2019
A/Mexico/INCMNSZ/BMQ482/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ482/2019
A/Mexico/INCMNSZ/BMQ484/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ484/2019
A/Mexico/INCMNSZ/BMQ529/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ529/2019
A/Mexico/INCMNSZ/BMQ530/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ530/2019
A/Mexico/INCMNSZ/BMQ558/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ558/2019
A/Mexico/INCMNSZ/BMQ559/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ559/2019
A/Mexico/INCMNSZ/BMQ563/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ563/2019
A/Mexico/INCMNSZ/BMQ600/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ600/2019
A/Mexico/INCMNSZ/BMQ680/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ680/2019
A/Mexico/INCMNSZ/BMQ693/Dec2019/H1N1pdm	A/Mexico/INCMNSZ-BMQ693/2019
A/Mexico/INCMNSZ/BMQ737/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ737/2019
A/Mexico/INCMNSZ/BMQ791/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ791/2019
A/Mexico/INCMNSZ/BMQ797/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ797/2019
A/Mexico/INCMNSZ/BMQ813/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ-BMQ813/2019
A/Mexico/INCMNSZ/BMQ814/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ814/2019
A/Mexico/INCMNSZ/BMQ815/Dec2019/H1N1pdm09	A/Mexico/INCMNSZ0-BMQ815/2019
A/Mexico/INCMNSZ/BMQ854/Dec2019/H3N2	A/Mexico/INCMNSZ-BMQ854/2019
A/Mexico/INCMNSZ/BMQ862/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMQ862/2020
A/Mexico/INCMNSZ/BMQ897/Jan2020/H3N2	A/Mexico/INCMNSZ-BMQ897/2020
A/Mexico/INCMNSZ/BMQ898/Jan2020/H3N2	A/Mexico/INCMNSZ-BMQ898/2020
A/Mexico/INCMNSZ/BMQ943/Jan2020/H3N2	A/Mexico/INCMNSZ-BMQ943/2020
A/Mexico/INCMNSZ/BMQ981/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMQ981/2020
A/Mexico/INCMNSZ/BMR036/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR036/2020
A/Mexico/INCMNSZ/BMR049/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR049/2020
A/Mexico/INCMNSZ/BMR050/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR050/2020
A/Mexico/INCMNSZ/BMR070/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR070/2020
A/Mexico/INCMNSZ/BMR089/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR089/2020
A/Mexico/INCMNSZ/BMR090/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR090/2020
A/Mexico/INCMNSZ/BMR091/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR091/2020
A/Mexico/INCMNSZ/BMR092/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR092/2020
A/Mexico/INCMNSZ/BMR101/Jan2020/H1N1pdm2009	A/Mexico/INCMNSZ-BMR101/2020
A/Mexico/INCMNSZ/BMR124/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR124/2020
A/Mexico/INCMNSZ/BMR164/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR164/2020
A/Mexico/INCMNSZ/BMR196/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR196/2020
A/Mexico/INCMNSZ/BMR261/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR261/2020
A/Mexico/INCMNSZ/BMR264/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR264/2020
A/Mexico/INCMNSZ/BMR286/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR286/2020
A/Mexico/INCMNSZ/BMR287/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR287/2020
A/Mexico/INCMNSZ/BMR343/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR343/2020
A/Mexico/INCMNSZ/BMR376/Jan2020/H3N2	A/Mexico/INCMNSZ-BMR376/2020
A/Mexico/INCMNSZ/BMR447/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR447/2020
A/Mexico/INCMNSZ/BMR486/Feb2020/H1N1pdm09	A/Mexico/INCMNSZ-BMR486/2020
A/Mexico/INCMNSZ/BMR616/Oct2020/H3N2	A/Mexico/INCMNSZ-BMR616/2020
A/Mexico/INCMNSZ/BMR637/Feb2020/H3N2	A/Mexico/INCMNSZ-BMR637/2020
A/Mexico/INCMNSZ/BMR667/Feb2020/H3N2	A/Mexico/INCMNSZ-BMR667/2020
A/Mexico/INCMNSZ/BMR711/Feb2020/H3N2A	A/Mexico/INCMNSZ-BMR711/2020
A/Mexico/INCMNSZ/BMR759/Feb2020/H3N2	A/Mexico/INCMNSZ-BMR759/2020
A/Mexico/INCMNSZ/BMS023/Jan2020/H1N1pdm09	A/Mexico/INCMNSZ-BMS023/2020
A/Mexico/INCMNSZ/BMS352/Mar2020/H1N1pdm09	A/Mexico/INCMNSZ-BMS352/2020
A/Mexico/INCMNSZ/BMS359/Mar2020/H1N1pdm09	A/Mexico/INCMNSZ-BMS359/2020
A/Mexico/INCMNSZ/BMS462/Mar2020/H1N1pdm09	A/Mexico/INCMNSZ-BMS462/2020
A/Mexico/INCMNSZ/BMS465/Mar2020/H1N1pdm09	A/Mexico/INCMNSZ-BMS465/2020
