MuVs/Massachusetts.USA/8.16/1[G]	Massachusetts_outbreak_1|MuVs/Massachusetts.USA/8.16/1/G|2016-02-24|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/8.16/2[G]	Massachusetts_outbreak_2|MuVs/Massachusetts.USA/8.16/2/G|2016-02-24|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/8.16/3[G]	Massachusetts_outbreak_3|MuVs/Massachusetts.USA/8.16/3/G|2016-02-25|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/8.16/5[G]	Massachusetts_outbreak_4|MuVs/Massachusetts.USA/8.16/5/G|2016-02-25|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/8.16/6[G]	Massachusetts_outbreak_5|MuVs/Massachusetts.USA/8.16/6/G|2016-02-27|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/9.16/1[G]	Massachusetts_outbreak_6|MuVs/Massachusetts.USA/9.16/1/G|2016-03-02|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/9.16/2[G]	Massachusetts_outbreak_7|MuVs/Massachusetts.USA/9.16/2/G|2016-03-06|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/9.16/3[G]	Massachusetts_outbreak_8|MuVs/Massachusetts.USA/9.16/3/G|2016-03-05|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/1[G]	Massachusetts_outbreak_9|MuVs/Massachusetts.USA/10.16/1/G|2016-03-07|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/2[G]	Massachusetts_outbreak_10|MuVs/Massachusetts.USA/10.16/2/G|2016-03-08|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/9.16/4[G]	Massachusetts_outbreak_11|MuVs/Massachusetts.USA/9.16/4/G|2016-03-08|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/3[G]	Massachusetts_outbreak_12|MuVs/Massachusetts.USA/10.16/3/G|2016-03-09|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/4[G]	Massachusetts_outbreak_13|MuVs/Massachusetts.USA/10.16/4/G|2016-03-10|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/5[G]	Massachusetts_outbreak_14|MuVs/Massachusetts.USA/10.16/5/G|2016-03-10|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/6[G]	Massachusetts_outbreak_15|MuVs/Massachusetts.USA/10.16/6/G|2016-03-09|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/7[G]	Massachusetts_outbreak_16|MuVs/Massachusetts.USA/10.16/7/G|2016-03-10|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/8[G]	Massachusetts_outbreak_17|MuVs/Massachusetts.USA/10.16/8/G|2016-03-12|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/9[G]	Massachusetts_outbreak_18|MuVs/Massachusetts.USA/10.16/9/G|2016-03-10|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/10[G]	Massachusetts_outbreak_19|MuVs/Massachusetts.USA/10.16/10/G|2016-03-12|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/11[G]	Massachusetts_outbreak_20|MuVs/Massachusetts.USA/10.16/11/G|2016-03-11|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/12[G]	Massachusetts_outbreak_21|MuVs/Massachusetts.USA/10.16/12/G|2016-03-12|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/13[G]	Massachusetts_outbreak_22|MuVs/Massachusetts.USA/10.16/13/G|2016-03-14|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/11.16/1[G]	Massachusetts_outbreak_23|MuVs/Massachusetts.USA/11.16/1/G|2016-03-14|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/11.16/2[G]	Massachusetts_outbreak_24|MuVs/Massachusetts.USA/11.16/2/G|2016-03-15|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/10.16/14[G]	Massachusetts_outbreak_25|MuVs/Massachusetts.USA/10.16/14/G|2016-03-15|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/11.16/3[G]	Massachusetts_outbreak_26|MuVs/Massachusetts.USA/11.16/3/G|2016-03-16|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/11.16/4[G]	Massachusetts_outbreak_27|MuVs/Massachusetts.USA/11.16/4/G|2016-03-18|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/11.16/5[G]	Massachusetts_outbreak_28|MuVs/Massachusetts.USA/11.16/5/G|2016-03-20|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/12.16/1[G]	Massachusetts_outbreak_29|MuVs/Massachusetts.USA/12.16/1/G|2016-03-23|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/12.16/2[G]	Massachusetts_outbreak_30|MuVs/Massachusetts.USA/12.16/2/G|2016-03-24|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/12.16/3[G]	Massachusetts_outbreak_31|MuVs/Massachusetts.USA/12.16/3/G|2016-03-25|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/12.16/4[G]	Massachusetts_outbreak_32|MuVs/Massachusetts.USA/12.16/4/G|2016-03-27|Human|USA|Massachusetts|G
MuVs/Massachusetts.USA/13.16/1[G]	Massachusetts_outbreak_33|MuVs/Massachusetts.USA/13.16/1/G|2016-03-31|Human|USA|Massachusetts|G
