label	fix
Dg1062/Korea/98	1998-XX-XX
Glouc1/UK96	1996-XX-XX
Hikaru.JPN/22.97-B	1997-06-04
Akita.JPN/42.93/I	1993-10-22
Fukuoka.JPN/41.00/L	2000-10-14
London.GBR/3.02-Uncl	2002-01-22
Novosibirsk.RUS/10.03-H	2003-03-12
Leeds.GBR/9.04/J	2004-03-04
Shandong.CHN/4.05/F	2005-01-29
New_York.USA/40.09/4	2009-10-08
New_York.USA/53.09/3	2010-01-07
Mass.USA/4.10	2010-01-29
California.USA/40.11/G	2011-10-08
Split.CRO/05.11/G	2011-02-05
Zagreb.HRV/28.12/G	2012-07-15
Virginia.USA/10.12/H	2012-03-11
