label	fix
A/Chicken/Jiangxi/1800	jiangxi
A/Chicken/Jiangxi/1844	jiangxi
A/Chicken/Jiangxi/1848	jiangxi
A/Chicken/Jiangxi/1851	jiangxi
A/Chicken/Jiangxi/9497	jiangxi
A/Chicken/Jiangxi/9508	jiangxi
A/Chicken/Jiangxi/9513	jiangxi
A/Chicken/Jiangxi/9530	jiangxi
A/Chicken/Jiangxi/9534	jiangxi
A/Chicken/Jiangxi/9558	jiangxi
A/Chicken/Jiaxing/4490	zhejiang
A/Chicken/Shantou/1550	guangdong
A/Chicken/Shantou/1552	guangdong
A/Chicken/Shantou/1554	guangdong
A/Chicken/Shantou/1556	guangdong
A/Chicken/Shantou/2537	guangdong
A/Chicken/Shantou/2538	guangdong
A/Chicken/Shantou/2539	guangdong
A/Chicken/Shantou/2546	guangdong
A/Chicken/Shantou/2550	guangdong
A/Chicken/Shantou/2556	guangdong
A/Chicken/Shantou/2562	guangdong
A/Chicken/Shantou/3057	guangdong
A/Chicken/Shantou/4325	guangdong
A/Chicken/Shantou/4816	guangdong
A/Chicken/Shantou/4824	guangdong
A/Chicken/Shantou/4832	guangdong
A/Chicken/Shantou/4833	guangdong
A/Chicken/Shaoxing/2417	zhejiang
A/Chicken/Shaoxing/5086	zhejiang
A/Chicken/Shaoxing/5087	zhejiang
A/Chicken/Shaoxing/5136	zhejiang
A/Chicken/Shaoxing/5146	zhejiang
A/Chicken/Shaoxing/5186	zhejiang
A/Chicken/Shaoxing/5201	zhejiang
A/Chicken/Shaoxing/5224	zhejiang
A/Chicken/Shaoxing/5227	zhejiang
A/Chicken/Shaoxing/5479	zhejiang
A/Chicken/Shenzhen/1665	guangdong
A/Chicken/Shenzhen/2110	guangdong
A/Chicken/Shenzhen/2201	guangdong
A/Chicken/Shenzhen/2293	guangdong
A/Chicken/Shenzhen/3733	guangdong
A/Chicken/Shenzhen/3734	guangdong
A/Chicken/Shenzhen/3780	guangdong
A/Chicken/SouthAfrica/S2017/080336P1/2017	south_africa
A/Chicken/SouthAfrica/S2017/080336P3/2017	south_africa
A/Chicken/SouthAfrica/S2017/08041638/2017	south_africa
A/Chicken/SouthAfrica/S2017/080561P1/2017	south_africa
A/Chicken/SouthAfrica/S2017/080561P2/2017	south_africa
A/Chicken/SouthAfrica/S2017/080581P1/2017	south_africa
A/Chicken/SouthAfrica/S2017/080581P2/2017	south_africa
A/Chicken/SouthAfrica/S2017/09005056/2017	south_africa
A/Chicken/SouthAfrica/S2017/09018462/2017	south_africa
A/Chicken/SouthAfrica/S2017/09018463/2017	south_africa
A/Chicken/Suzhou/402	jiangsu
A/Chicken/Sweden/SVA161122KU0453/SZ0209316/2016	sweden
A/Chicken/Sweden/SVA161122KU0453/SZ0209317/2016	sweden
A/Chicken/Sweden/SVA161122KU0453/SZ0209318/2016	sweden
A/Chicken/Sweden/SVA161122KU0453/SZ0209321/2016	sweden
A/Chicken/Wuxi/403	jiangsu
A/Chicken/Wuxi/405	jiangsu
A/Chicken/Zhangzhou/8585	fujian
A/Chicken/Zhangzhou/8829	fujian
A/CommonGoldeneye/Sweden/SVA161117KU0322/SZ0002165/2016	sweden
A/Crow/Aghakhan/2017	isfahan
A/Duck/Jiangxi/1504	jiangxi
A/Duck/Jiangxi/3096	jiangxi
A/Duck/Jiangxi/3141	jiangxi
A/Duck/Jiangxi/3152	jiangxi
A/Duck/Jiangxi/3169	jiangxi
A/Duck/Jiangxi/3190	jiangxi
A/Duck/Jiangxi/3214	jiangxi
A/Duck/Jiangxi/3230	jiangxi
A/Duck/Jiangxi/3257	jiangxi
A/Duck/Jiangxi/3283	jiangxi
A/Duck/Jiangxi/3286	jiangxi
A/Duck/Jiangxi/3292	jiangxi
